Region label,Unit of measure,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,hectares,47100,73400,90100,62200,68600,93200,82900,103100,108200,135500,121000,138500,104700,105300,151700,150100,130400,143500,182600,154900,138500,179200,188100,184500,228600,190300,253100,301400,338200,306500,317400,182400,179100,248400,282900,302500,339400,409500,420900,436600,452400,557100,729600,684500,766500,847100,858300,963400,963000,1145200,964500,820500,814400,835300,929900,1010800,1056800,1341000,1521200,2000100,2535400,2139900,1894600,1825600,2329000,2320500,2802300,2784800,2482700,2451800,2685000,2452400,3108600,3518100,3284500,2273900,2345500,2190100,2309900,2555600,2744200,2947200,3424500,2470500,3110600,3366500,3520900,3167300,2595600,3454000,3707400,3863800,4477000,4645700,4405700,4182000,4901800,5015000,4421600,3681000,3718261,3644368,3814113,4078041,4107648,4834102,4124158,4436588,5040903,5491009,5094527
,tonnes,46700,87600,89000,30200,86300,92600,90700,108100,97300,162400,138100,148600,112900,115000,144300,157300,112600,150200,172200,151200,142700,196700,180600,182300,218400,166500,284500,245800,354100,161900,408600,187900,172200,114200,252300,263200,473400,403700,443500,519100,497200,795400,936700,667300,945500,1118500,691500,1429500,775800,1542900,942200,899200,915100,1119600,949700,1398300,835400,1647900,1699500,2351700,3061600,1727300,2397500,2515000,3178800,2846900,2383400,4006400,3703400,2682100,3450100,1938800,4889500,5554300,4868400,3547700,3416800,3241600,4044200,4107800,4529800,5396700,6668200,2913200,5822700,6696100,6481700,5987200,5032000,6743500,8279800,3864800,10381800,7739800,9481700,4257000,7160200,7996500,7864600,7994700,8220863,7471592,9174418,8646321,8992274,13505990,9253852,8818946,10127175,14648581,14377284
New South Wales,hectares,4400,6800,8300,2000,2600,2100,2600,3200,2200,2400,2000,1600,1800,2700,2700,2300,2300,2000,3200,4700,3400,3100,4000,3800,4700,4900,4700,5700,9800,8100,8300,5800,8100,11400,11700,10800,9500,7700,5200,3400,4500,7100,12900,14900,21900,17900,27900,42800,47900,76700,81200,89200,85600,96700,95500,155900,148700,196800,219300,301200,373400,335800,385700,326600,486000,417100,485600,467600,445200,455500,540000,386600,554200,604800,546200,408300,464700,412700,412900,463300,517500,559700,623000,409800,593200,668200,701100,638000,475900,615400,664700,636400,951000,1023100,1103100,901700,1049000,977500,950700,878000,672872,618937,715248,882347,966180,1056379,763470,667931,885403,1370935,1158588
,tonnes,2900,6600,6900,1100,2600,1700,2200,2000,900,2800,1900,1300,1600,2700,2400,2300,1500,1800,2600,4300,3100,3500,3800,3800,4900,4700,3800,4900,10600,4000,6900,5100,8600,2800,11300,2400,11800,7300,6000,2900,3800,7700,15500,11400,25500,17700,15600,66400,58700,108800,94000,121800,121600,152400,86400,268100,109900,254800,280300,430400,347000,265900,448100,407600,697400,571300,446000,675900,686300,413300,766400,189400,941100,915000,821400,613600,743900,712300,655600,822500,748700,1043800,1357000,291500,1073600,1483000,1364700,1247400,1040300,1253300,1382300,428000,1955200,1760700,2336400,753000,814300,1449400,1236200,2193600,1425036,1286325,1485537,1868860,2527655,2832124,1304643,909089,916300,4257988,3561719
Victoria,hectares,21700,29000,33700,25300,24800,37600,34400,40500,34500,38000,40500,41600,22900,25800,41800,36000,31100,30500,39500,35400,26900,37900,43000,35500,47100,40500,56600,71200,82700,75900,82700,31500,33700,52200,54300,55900,66400,79200,95600,87900,75400,94900,151600,113600,125100,139700,142300,146800,112300,125200,91300,78600,76900,75700,77800,92100,123400,165500,196900,269100,295800,277100,221800,243000,344300,366200,418400,365400,325400,302800,314900,278200,403400,485500,388600,265400,366200,349600,388700,463000,533900,551500,639500,492300,627500,584700,618100,568100,585300,693200,700100,777500,871600,924300,866500,913000,1106900,1136100,976300,801600,831249,854143,918670,916076,844470,946126,843675,892809,1101690,1011883,870238
,tonnes,23200,39600,41100,13600,39300,40800,44700,46000,34700,56600,53000,55400,33000,32800,40300,43600,35200,35300,49500,45000,28500,45300,42800,36500,52500,48600,61400,37900,84800,26900,108700,28900,24500,8200,39500,52700,81100,80500,110600,102300,82100,107400,179900,112200,156000,171200,123500,194600,126800,175100,105600,124000,21300,98300,73000,122900,61400,201500,257900,318400,390900,213600,285400,319400,444600,401800,358600,519100,494100,418000,459400,74600,758400,637700,475800,443900,529500,544800,696000,650600,897900,1116300,1386200,448100,1341700,1189400,928300,869800,1189300,1670500,1655700,478400,2274500,1305100,2003600,604500,1789200,1461400,1864500,1944900,2005065,1952219,2035814,1373833,1107380,3082850,2109687,1337317,3116609,2918480,2270503
Queensland,hectares,700,3800,3600,2900,600,5100,3100,500,1300,6400,3100,2100,300,3600,2800,200,1300,3100,3900,3400,900,1900,3500,3900,2600,2700,3500,5700,5300,2900,3000,3300,5200,6100,8500,3700,7000,11200,10100,10600,11400,29100,22700,35300,58900,53100,69900,100600,105200,88800,71600,60600,71200,91200,136900,155300,138600,172800,168700,91300,158600,77900,138900,156300,236200,218300,200200,232500,194800,159700,206400,167000,261000,328800,342600,167900,169400,199900,179400,176900,127800,189300,232200,93500,167800,180200,135300,163300,129900,111900,96400,107900,151200,97200,129300,80500,112900,91900,68500,94000,79979,89655,105760,125477,137699,148991,104887,99476,80482,227397,207315
,tonnes,300,3300,2600,2400,200,5700,3300,200,800,7200,3000,2100,100,3900,2100,0,1600,2400,4700,3900,800,2300,3500,3600,2100,800,2700,5600,6100,2800,2700,3700,5700,7200,11800,1600,9800,14100,13100,11100,10200,47900,25900,58400,95700,67200,67100,183900,151000,99700,80200,92800,117800,161400,207400,299500,203500,292100,172200,61300,248700,79900,221100,297300,419100,407000,216300,583300,346500,170300,397500,268500,541800,704300,809900,275900,244200,374100,320700,360800,70100,285200,260500,72800,195000,428600,204500,320400,253800,115000,170700,148300,263100,177800,166000,79000,142800,173000,113100,146200,191021,170208,179535,253191,372361,435727,187837,132008,80075,434362,617250
South Australia,hectares,16500,27900,36600,26800,34400,41900,38700,52800,63900,81800,69200,87100,74600,67400,96900,103800,88800,100100,123600,102000,98100,127200,124400,128200,159300,123300,166400,185000,203800,190700,193500,120600,105800,145600,178800,203200,227600,282400,280800,309500,336500,379400,454000,412700,421600,494400,490400,539200,522000,629600,514300,426100,454500,443000,444400,448000,468100,571600,559900,693500,783700,692100,627300,700700,832000,855000,1073000,1091000,984000,989000,1032000,1005000,1103800,1121900,1169100,955400,876300,836600,899500,945000,999200,1023300,1115300,881900,963500,1008900,1017300,975300,845300,1040900,1151200,1193700,1215900,1280100,1169400,1193200,1244300,1240100,997400,795400,881210,861391,810465,840446,769482,980776,876488,872908,1061346,1030847,969847
,tonnes,16000,29900,30300,10200,38500,39400,37500,54900,55600,89600,74400,83900,73800,70500,93900,105100,68100,104100,105700,89900,103800,137800,119300,129000,147400,96700,196300,171200,226100,108400,265900,136700,114800,72300,171800,191200,348800,274700,288900,379700,382000,588000,646800,417100,558400,771900,398400,855000,269200,958700,483300,408700,552400,611400,420300,537900,281000,670800,690700,742500,1046800,508700,793000,1134500,1094400,889100,591800,1422700,1527500,1158100,1227100,667500,1816900,1836400,1709300,1592300,1260500,1035900,1724500,1505700,1881500,1855300,2242400,1158700,1851100,1923200,2027100,2051000,1409200,2320300,2781800,1439900,2691100,1979200,2547800,996000,1672400,1876800,2068200,2122400,1815510,1794436,1892284,1941042,1719367,3002007,1860785,1614987,1995135,2395385,2145560
