Region label,Unit of measure,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,hectares,123000,143000,142100,125300,144800,139100,128000,98100,111600,122700,129100,115000,172100,131100,113500,154800,145200,119200,120600,108800,89100,120100,120400,118000,130100,125700,133300,128500,137700,134400,121700,114700,108500,95200,97400,99500,78000,80900,77100,68000,67400,73100,72400,66000,74800,72100,70900,79300,75900,84200,86600,87700,87600,79800,78800,80200,69900,66500,79300,85600,78200,59300,45600,51400,46700,53000,45200,49900,53900,56200,60800,64300,68400,102900,84200,57700,55600,51700,52300,48500,51800,44900,43800,50200,56300,66700,57400,64500,82300,74200,82600,49600,70100,72400,67200,48900,0,64600,0,62200,69684,78634,52360,59558,53281,67771,52783,58949,37730,45742,0
,tonnes,198800,247500,241700,157400,197900,246300,222500,117700,176400,207000,206900,157300,340900,215500,170300,279100,249600,192100,206700,183900,125400,181100,201200,189500,180700,170800,201200,169300,194600,221900,184100,193000,172200,138800,147600,161300,130400,155700,143100,105100,107400,136100,129900,119500,140000,131800,155800,180900,165400,182000,194000,172500,182400,132100,169100,186000,153000,149100,191400,211600,213800,138800,105800,133300,131400,144100,129800,168500,150700,171700,211300,139100,238100,291400,277700,206400,208200,216700,218700,193700,268900,198800,204100,242400,311100,397700,271800,338200,406000,344900,453900,310000,395000,419700,362000,239900,0,375700,0,356900,450535,506725,390364,494589,400032,436194,387240,327206,267552,305656,0
New South Wales,hectares,67900,71400,63500,58100,62400,62900,59000,46400,55200,58300,59400,55900,67600,59300,48900,52000,60200,43200,43800,42500,42900,45900,47400,46800,48500,47100,50600,49500,46900,57500,47500,41900,41800,38100,37400,44500,35200,31500,29500,21300,21900,24500,23700,20500,22500,21500,23300,25200,20900,19900,20800,18800,18100,16900,17000,19800,20900,22000,32700,33300,33200,23900,18000,22200,17400,19700,16000,15200,12100,13000,12800,12100,11300,19300,18200,16200,14700,13700,16700,17800,16800,15600,14200,20500,23600,30700,22400,26500,22100,26400,28300,20500,21800,25500,30600,20400,0,14400,0,23200,21085,34081,22171,23438,17394,22655,20163,21326,9751,20656,0
,tonnes,114500,129900,113100,80600,95900,110100,88900,53100,102900,106100,101000,83500,117400,106900,83300,91400,99800,63700,77100,70300,67800,74600,79600,82300,84500,83900,86400,73800,72000,102700,79800,71500,70300,61900,65000,63700,59900,62900,61200,38400,35800,53700,44100,44900,47400,49400,56800,72600,63100,56600,59700,54500,53100,47700,40800,62800,58900,78300,101700,106500,114400,67300,47900,59600,50600,65400,48400,55400,49900,45500,58500,47700,55600,74200,90100,77100,72100,78300,97600,90600,119100,107900,100000,145300,190000,255900,161200,186200,177800,177600,245800,163500,177500,242100,211900,143200,0,115100,0,171100,206850,261232,209303,245789,169800,202507,190204,147444,95173,180761,0
Victoria,hectares,7400,8100,7300,7900,9000,9300,8500,9100,9500,9800,9400,10500,11800,9400,8900,8100,7100,6500,7100,6600,6400,6600,7900,7600,8200,8100,8400,7500,7700,6200,3900,2900,2700,1800,2800,3300,3200,2600,2100,1700,1700,2100,2300,1800,1400,1100,1700,1600,1400,1200,1300,1500,1400,1000,700,600,400,500,500,500,400,500,700,500,500,400,500,500,600,600,500,600,900,1200,1100,600,1300,300,300,300,400,400,200,700,1100,1000,900,500,700,800,900,1400,600,1000,1900,300,0,400,0,1600,4180,3113,3425,4814,5369,7584,5101,7035,5145,4014,0
,tonnes,20100,18200,20300,25900,25400,29800,29300,18100,22300,27100,24200,22400,37200,22700,19500,17400,19200,17300,13600,17600,15500,12100,16400,18300,16200,20200,19900,10600,9700,17900,7800,6900,3800,4200,7800,9100,8200,6600,4900,4700,4300,5200,7600,5800,4500,2100,6100,5200,4600,4300,4900,5500,5200,2900,2600,1800,800,1800,1800,1600,1900,1500,1900,1900,2500,1700,1800,2000,2900,3000,2400,2400,5000,6300,5000,3200,5500,1400,1000,2000,3000,2800,1700,5100,6800,6500,10200,2500,4000,7600,9100,15200,6600,2200,19200,2500,0,3000,0,11600,20880,28216,38061,58897,61202,68650,59766,66173,53626,41230,0
Queensland,hectares,47800,63400,71400,59300,73400,66800,60500,42600,46900,54600,60300,48600,92700,62400,55700,94700,77800,69500,69700,59800,39900,67600,65000,63700,73400,70500,74200,71600,83100,70600,70300,69900,64000,55200,57300,51700,39500,46800,45500,45000,43800,46400,46400,43800,50800,49500,45900,52500,53600,63000,64500,67400,68100,62000,61100,59800,48600,44000,46200,51700,44500,34900,27000,28700,28700,32900,28700,34100,41200,42600,47500,50900,55100,81200,63200,38300,36900,36500,34200,29300,33700,27200,27600,27200,31000,34200,33600,36700,59400,46600,53300,27600,47700,45600,34100,27200,0,49300,0,37000,42860,40209,26159,30720,30088,35312,25738,28281,16983,16600,0
,tonnes,64100,99500,108200,50900,76700,106400,104300,46500,51100,73900,81700,51400,186200,86000,67500,170300,130500,111200,116000,96000,42000,94400,105200,89000,80000,66800,94800,85000,112900,101300,96500,114600,98000,72700,74800,88600,62300,86200,76900,62000,67300,77300,78200,68800,88100,80300,92800,103100,97700,121100,129400,112500,124100,81500,125700,121400,93200,68900,87900,103500,97500,70000,56000,71800,78300,77000,79600,111100,97900,123200,150400,87400,174800,206900,175800,118000,124200,132100,114600,94900,141200,74600,87100,79900,113600,129900,96900,144900,223600,159100,198400,130900,210600,173500,129100,92400,0,254900,0,171500,216916,213117,137245,182983,163901,146237,114642,88033,57715,65856,0
South Australia,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,851,171,0,0,92,45,0,0,0,2638,0
,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,400,700,500,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1998,897,0,0,681,583,0,0,0,4487,0
Western Australia,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,400,200,800,1200,700,700,700,900,800,1700,1600,1600,500,600,400,500,0,300,0,0,100,200,500,700,0,300,0,200,308,1059,504,556,320,1710,1537,2174,4984,1808,0
,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1800,1500,4800,5800,4800,4000,4800,5400,4900,12900,14600,11400,500,5100,3100,3600,400,300,0,400,300,1400,1700,1200,0,2100,0,1600,2292,3262,4923,6612,4180,16525,18389,25443,56038,13122,0
Tasmania,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,30,14,72,244,133,np,26,0
,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,500,0,0,0,0,832,307,257,1147,4238,114,np,202,0
Northern Territory,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,800,1000,800,1200,1800,700,500,200,200,200,100,200,100,100,100,200,100,100,100,0,0,0,20,200,0,0,0,0,400,0,0,0,4,394,0,0,np,0,0
,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,900,2200,1200,1800,1200,800,600,700,700,600,700,600,200,200,300,700,200,400,600,100,0,0,75,400,0,0,0,0,1600,0,0,0,11,544,0,0,np,0,0
Australian Capital Territory,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
