Region label,Unit of measure,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,hectares,249600,353800,347600,314500,292100,341600,249200,310900,432300,379200,296800,410500,435900,471500,410000,341600,454100,423100,613400,437900,439200,415700,556000,631800,632900,617000,569900,721900,680400,697100,590700,605600,572600,823200,788600,699000,851800,715900,707100,711000,956800,1118600,864700,1041700,1357100,1034300,1197300,1607900,1226100,1471600,1252800,1332000,1372300,1414700,1523400,1722600,1367600,1566400,1374000,1552900,1240500,994900,1182100,896400,1026000,995200,1076000,1359000,1123000,1092600,1388300,1211800,1771800,1040700,1068400,1140300,1275600,1309500,1088700,1043600,1160100,1149100,947400,896600,1136300,1051800,936700,908900,583600,650500,784100,911500,1089300,893600,930300,1002700,1237800,870300,850100,826000,731144,728575,714699,854417,821498,1027872,874136,938129,815954,1069891,842394
,tonnes,173300,292100,276200,78700,299800,254100,188000,189300,227600,335900,220300,271700,313800,351600,221400,227900,219100,255800,261500,302000,275400,292900,306600,306300,339300,302000,311000,281800,458500,184700,404200,390200,320900,162500,467200,282100,737900,427600,496300,455400,625400,790600,597300,595000,1023700,641400,569400,1574700,848800,1379200,998900,1247100,1236400,1269200,1100100,1941000,717800,1709000,1246400,1612400,1275100,736400,1107300,874200,1196500,1071700,990500,1763200,1411000,1128300,1617100,848200,2295800,1367400,1329700,1583900,1698100,1838100,1640400,1529800,1689800,1936600,1646600,924100,1874900,1652900,1634400,1798300,1117800,1049800,1433700,957100,2018100,1282500,1688000,748300,1502300,1160000,1161600,1127700,1262032,1121135,1254659,1198006,1299680,2265503,1227387,1134619,1142934,1897990,1734874
New South Wales,hectares,28800,34500,41900,17600,23700,27200,33400,35000,30800,31400,28200,29900,35200,50000,40900,42500,46500,51300,73400,71500,61400,66300,82400,96100,113200,95400,103300,161700,164000,95900,123000,174500,151400,220300,249700,225800,246500,153100,151600,134400,241400,295400,205100,266000,365100,170200,289500,457400,229600,371300,288700,286500,321300,344000,417900,551400,367200,479500,365500,405300,261300,285200,405000,269900,289600,249600,288400,431500,348700,363300,555700,394400,812600,311700,429100,482300,525800,548000,365200,374300,456700,447700,369000,375500,505100,392700,324900,354000,159700,167900,230900,308300,449200,399900,416400,390100,464400,273400,306900,321200,236267,233775,267875,362158,277807,326981,365955,334466,264454,393583,248050
,tonnes,21000,30400,33300,9300,24400,19700,26400,23100,10600,29800,21200,22700,28500,45600,29300,34500,30000,39600,45900,58800,45800,63800,57700,70000,85900,72000,61600,87700,125300,36200,74700,133100,127900,31900,181400,37100,248100,104900,127300,72500,170500,223600,154800,139100,300000,113800,71600,501500,201800,389500,240000,290900,359500,415200,228700,743900,149400,498100,349000,456000,221200,196500,327600,293100,349900,307100,241800,594300,460700,309900,741300,134900,1120400,401800,538300,635200,707400,779600,503500,538400,578800,761500,617800,197300,711200,607200,488200,669100,283700,245700,320400,149300,610200,429200,633000,114600,193200,260600,210900,468600,257557,275517,283326,350434,382563,495657,229353,126262,183159,644979,344449
Victoria,hectares,122300,177800,178900,177000,143200,178700,118700,138800,226400,179500,129000,199300,210700,209300,177100,122800,214200,140400,255000,150100,177900,149300,212900,205000,204600,154200,159600,266300,177900,226300,170800,173200,172500,292300,207000,183700,263100,218400,195500,213400,273800,306000,236000,260800,352500,247900,251800,392800,272400,337900,313400,377200,368300,391000,390800,436600,292600,401200,357600,399200,329500,254700,271200,197800,281700,241300,228400,290800,255700,218700,245100,212900,323700,228300,211500,214800,216200,188900,188600,177100,182800,222900,185800,147700,187000,174600,172300,188000,138300,139900,142000,188100,194300,149900,151300,176100,210500,190800,168400,165900,131097,117098,105717,133208,140440,161869,97126,134213,108271,131074,93372
,tonnes,83200,151000,161300,29200,169300,150400,111400,95700,119800,197900,110400,146800,169900,173700,90700,88600,85000,101600,91800,125100,117000,115500,123000,95200,115500,110800,96700,52800,150200,47600,147900,120400,67200,24200,134300,116100,279100,135900,158200,163900,202300,228600,178700,181800,269600,173400,172900,423500,230400,375000,296000,490600,360800,407300,322700,567000,124500,548500,470400,466600,449400,238200,232700,186000,337200,309000,268500,446200,390300,321700,306000,97600,494800,343200,300000,355900,325200,276100,330400,301100,300400,403800,362000,200600,391700,304000,369100,458000,296300,351400,333900,250100,507300,284500,328100,134200,334700,236300,300100,237000,234090,233159,213071,179468,185291,492994,188467,165344,197027,334292,233846
Queensland,hectares,200,1700,1700,1100,100,2700,1200,100,100,1900,900,500,100,1600,500,100,900,400,800,2100,600,1500,2100,1800,2800,3200,3100,3500,4700,2900,3300,7700,8900,6800,16200,6200,10100,8600,8300,6900,8400,22800,5500,14700,14400,11100,7700,15800,8700,7500,10800,11000,12600,22400,18200,26900,12500,22300,30400,24400,20600,10400,19600,25400,11900,9000,9600,30200,12500,14300,17800,11900,19500,12400,21300,20300,19500,17700,15400,24200,15000,14800,15900,13700,14100,39400,16000,18100,10000,12800,10600,9400,9100,20900,15600,24400,20300,7300,11600,13600,17860,47966,23299,65349,36203,47424,44868,35889,50100,63106,50278
,tonnes,100,1500,1000,800,0,2000,800,100,100,1900,600,400,0,1200,300,0,800,200,700,1700,400,1100,1300,1500,2200,400,1400,1700,3600,1400,1200,5000,7000,5400,15000,1400,8600,7600,6100,4000,4800,23600,3600,10800,13400,10000,4600,15100,7100,5200,7500,9900,12200,21200,13300,26500,8100,20300,17200,8400,17600,8200,13300,28500,13000,9100,4800,43200,8700,5900,16400,8600,19400,14300,26100,18800,13600,14500,14300,27100,5200,9700,7800,3200,6900,25700,13000,15300,11800,5900,7500,3500,4900,9700,7500,3600,11800,7000,6600,7300,22762,14355,2988,14789,23371,56470,12380,10624,24990,60976,66892
South Australia,hectares,43700,62900,47300,56900,51200,61400,43100,65100,77800,67600,50600,70300,71300,62800,64000,61600,79700,83900,112500,88400,83600,70500,107300,148600,121300,167800,134500,108000,141200,191200,117900,106300,90800,135200,149600,102100,125000,116000,105800,109800,156800,149500,113400,137500,172000,172900,173000,194700,204600,207300,131000,168200,202600,179600,183200,205900,212400,208700,150400,194900,168900,141500,152200,134900,119000,116700,130000,170500,129000,105500,127300,123600,153400,127800,108500,112600,131800,155500,172000,134600,129300,122900,101500,94900,119600,120600,110500,112400,69900,75000,108300,87900,88700,75800,72200,106400,141600,100000,96200,67000,54950,67899,53676,56825,65419,86092,57088,115379,92239,99866,79111
,tonnes,24400,30300,21700,6700,38600,33300,22600,27900,29600,42200,23500,30400,39100,35100,32700,31000,25000,31500,28300,37700,41400,32400,37800,43700,43100,42800,53600,43500,73500,33100,68800,60900,41500,23800,57500,50300,97600,47800,62700,64000,97800,120700,78200,81600,131800,150600,61900,217100,45300,207700,79500,104400,165600,162500,101800,186000,59700,215300,120900,152600,165800,74300,142300,111700,107300,90300,55400,176800,144100,96100,97900,64500,180500,132300,110200,149100,134600,131400,249900,147600,172500,164500,135100,87000,161900,155800,153000,178100,77500,117200,202900,69900,137400,89700,119600,51500,115300,81300,144000,124600,78033,88430,82175,89434,102548,179374,93916,140275,91794,161430,145667
Western Australia,hectares,31400,51700,54100,38900,42100,49500,38700,57200,77700,78300,65900,86700,97800,129100,112600,95000,95300,131900,155900,111200,108400,115700,138700,165400,181400,187400,156300,172400,183200,173700,164800,138500,144900,162700,160400,172000,200200,215200,236600,237000,265700,336800,296700,353500,441500,425500,466800,538100,502000,538200,498000,476500,455200,466200,501900,487200,468700,442100,461100,519600,453900,296700,324900,262300,319900,372300,415000,427500,369600,382000,432200,460900,448200,350600,287600,302500,372600,389100,339900,324100,367200,331600,268500,256500,300400,316300,304900,228400,199400,248300,286600,313900,343900,243000,270600,299000,396800,294900,263300,254900,287544,258172,259814,233230,299755,402883,306385,315929,298520,379412,369635
,tonnes,17400,38100,30000,8400,27800,30600,16400,27100,45000,36600,36600,40900,51500,76800,53200,49200,52900,64300,73500,59600,64200,65200,71500,76800,82500,62400,79000,84500,96200,58800,96400,65400,71700,69600,73900,66300,97900,126700,131600,143200,139200,189000,173600,173500,298900,189000,249700,408800,354700,394800,365400,336100,323100,253600,421300,400300,357600,416300,280600,519900,413900,212000,383100,249500,385700,347400,415600,490900,399300,383600,441800,533600,455600,459900,338200,413600,501600,618500,529400,496800,614300,577900,511100,424800,584800,546100,596100,463400,438700,317000,556900,476700,751500,460300,591300,441000,839500,568300,493300,283300,661965,502281,661401,557595,601410,1035754,697234,687050,643167,688251,937443
