Region label,Unit of measure,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,hectares,3006000,2970300,3758500,3905700,5052300,4667200,3955700,3233500,2597800,3671400,3933200,3951300,3860900,4380800,4128400,4730000,4965600,6005100,6060300,7350400,5965000,6378800,6029100,5075800,4838200,4983900,5557600,5805000,5375300,5116300,4857200,3755200,3186400,3424300,4623000,5332300,5615300,5090700,4951700,4719200,4201800,4131400,4350200,4318800,4113800,3186600,3580400,4207900,4925300,5438200,5957500,6663700,6665500,7250700,7087400,8425700,9080700,10843800,9485000,6478000,7137400,7603800,8948000,8307300,8554800,8955900,9954600,10248800,11152200,11283100,11884700,11519700,12799500,12044800,11735600,11135200,9004800,8826800,9003900,9218100,7182900,8274600,8383200,7890700,9220700,10935600,10440600,11542500,12167500,12141400,11529200,11170300,13067100,13399400,12442700,11797900,12578300,13530200,13881000,13501800,13902140,12979382,12613226,12383673,11282202,12191153,10919180,10402271,9863184,12643216,12728252
,tonnes,1949200,2502800,2812100,677300,4872500,4147200,3121900,2058000,1250800,3969300,3512600,2978200,3400900,4477600,3115400,4407000,3215600,4344200,3451400,5810800,5185300,5818900,4823200,3628000,3923100,4118500,5093500,4225600,5725900,2236300,4535400,4236500,2984300,1438600,3873900,3188900,5986700,5186800,5935300,5012400,4345500,5311100,5385500,4587300,5317100,3658100,2654300,5851900,5399700,7446600,6724400,8348800,8920300,10033000,7063600,12693600,7542900,14797900,10542200,7888300,8508500,6434000,11902100,11357000,11981700,11799600,9369900,18089200,16188000,10856400,16359300,8804700,20787800,18072000,16062600,16119400,12286800,13935000,14214500,15066100,10557400,14738700,16479300,8961300,16503900,22924300,19226600,21464800,24757400,22108100,24299300,10131900,26131900,21905100,25150400,10821600,13569400,21420200,21834000,27410100,29905009,22855576,25303037,23742560,22274514,31818744,20941134,17597561,14480217,31922555,36237477
New South Wales,hectares,963400,903100,1297200,1116100,1695200,1540500,1347400,975200,596600,1265600,1293000,1190900,1191900,1436700,1183700,1356800,1226200,1655200,1608200,2078000,1490400,1944100,1855100,1575300,1558600,1611800,1806800,1882100,1772800,1802500,1606100,1227400,1089900,1151300,1527200,1810900,2040800,1634300,1623500,1347000,1114200,1093600,1358500,1181100,1188700,705100,913500,1286100,1598700,1649500,1820400,2026800,2008800,2331000,1852100,2887500,3324500,4031400,3489500,2215700,2426300,2618100,2883000,2646300,2774100,3115800,3377400,3162100,3415000,3345000,3600000,3161700,3868100,3569500,3662600,3098800,2463700,2309500,2123400,2165800,1499300,1694000,1977700,1423800,2328300,3192000,2936200,3173800,3424500,3670800,3446000,2994800,3983400,4256300,3554100,3595800,4008900,4322200,3982600,3814700,3868354,3487448,3269386,3166039,2932741,3248417,2793456,2381953,2132016,4037001,3607705
,tonnes,682800,884200,1034700,349200,1817000,996000,1026400,498700,119400,1513900,1163900,780200,902900,1626600,920000,1293900,736000,1340600,936400,1792900,1495900,2146500,1552800,1324800,1328700,1515000,1499700,1630200,2083400,651400,1320000,1406900,1292700,466300,1701500,426800,2591700,1760900,2230000,1177700,1080200,1542300,1733100,1026500,1555400,775400,288600,1808200,2050900,2304000,2132300,2966600,3333200,4122700,1064600,5511200,2376500,5854600,4430300,3010200,2409800,1954100,3961500,3808700,4310500,5141000,3846200,6640400,6000000,2865000,5910000,1623200,8220800,5610200,5915500,4855200,3996900,4105300,3423300,4127600,2183000,3582700,5086100,874600,4508400,8363400,5906400,6563300,8601900,7867300,8042800,2494900,7288200,7537400,8049000,2567700,2477100,6963300,5349800,10488400,8472914,7364882,6595626,6653670,6897527,9819120,4702842,1850335,1772365,12972151,12029415
Victoria,hectares,875800,843900,1038400,1158800,1489200,1264900,1088700,896200,776300,929100,1056700,1070100,993100,1094800,1017200,1179800,1240000,1505000,1443200,1861600,1443100,1307500,1235500,995000,940400,968700,1087000,1112200,1144200,1081600,1115800,868100,725800,866700,1315800,1416900,1306000,1212300,1144600,1107000,997000,903300,966900,967300,866600,633400,742500,732500,914900,1081200,1152900,1264600,1258200,1309600,1244000,1269900,1304700,1612300,1334800,760400,1040200,1087400,1257900,1140700,1073100,1103100,1270300,1337400,1456900,1431000,1321700,1326600,1613900,1522600,1508100,1363600,1025700,930900,952300,911500,664100,821200,779900,821800,853400,962600,856800,948600,1234600,1142600,1136400,1238900,1409200,1327000,1314600,1347300,1514000,1533600,1801100,1793100,1668929,1591922,1535818,1492657,1341512,1454196,1446793,1402863,1428857,1413422,1444578
,tonnes,568600,713700,896400,107300,1592700,1392400,1027000,686900,404400,1074200,1193900,971500,1028600,1289100,796200,1276000,712000,1274200,691600,1464600,1141900,1302100,1159700,703500,1022000,1166000,1311100,492700,1226200,368000,1277900,1137700,537100,95200,806500,1332800,1278100,1335300,1563100,1394400,1251800,1369900,1461400,1319500,1118100,960200,874600,1162000,1055800,1839400,1548000,1847900,2076600,2127300,1649000,1929500,770700,2469200,2273700,1004300,1797300,1249300,1405400,2091300,1578500,1779600,1496700,2998500,3249600,2538000,2466800,422300,3862500,2694300,2342400,2794600,1882400,1691400,1961400,1493000,1150400,2015100,2021900,933600,1921200,2262300,1502800,1462300,2642100,3079700,2791400,890200,3145500,1927100,2908900,879300,1995300,1755700,2994900,4412400,3943311,3422865,3395892,2631301,1814868,4664824,3682083,2276598,3714313,4525002,4246433
Queensland,hectares,17400,50600,53700,51400,37900,92200,51700,8800,18800,71800,66600,58900,20700,76500,67200,23100,87000,88300,82600,110200,100700,101200,93900,89700,97000,114800,150900,178900,146500,130300,117700,135500,113800,134500,158800,100400,187100,246000,242800,226100,184000,293200,234700,278200,235400,145700,186400,284900,276500,280300,303400,371900,379400,415000,386000,496700,597600,723800,608700,333900,556000,470600,394700,488500,576200,582000,606800,747000,733300,727000,941100,767000,1005900,921000,972700,794600,646100,768200,894300,1060300,491700,669200,555500,400700,626500,979700,1001400,1138800,1096000,884900,604400,514400,789700,711000,778300,638000,668900,1019900,961700,905500,953201,865923,757955,633508,611093,622197,639189,419697,441477,966132,940597
,tonnes,7800,53700,48100,43100,11300,67000,28200,2800,8500,100800,82300,51100,6600,75600,53700,10300,102900,68400,115200,138900,105100,67800,118600,110900,73200,54800,102000,233500,184800,154700,83800,136100,138300,189900,222700,19200,290600,389400,320400,239000,180400,507600,276900,448200,405900,192100,181100,437800,367800,299200,326900,508200,605900,621000,474100,971900,745700,1142400,405200,119700,721800,404900,525900,692100,830000,794500,569200,1962200,846000,485300,1482300,754400,1922400,1579100,1691000,833100,718400,1550000,1420000,1973200,343700,735200,555400,225100,519500,1979500,1392100,1941200,1904000,1157000,901400,600900,1109700,1170400,1217600,776700,953900,2016000,1346300,1523600,1886303,1613964,1036450,986855,1315912,1501600,765413,419675,418475,1594192,2222389
South Australia,hectares,886600,841600,917800,1012800,1108500,1124400,953300,884800,779800,877200,964800,992800,978700,1011700,997800,1120400,1190400,1394400,1475400,1691800,1647700,1645800,1546700,1290300,1209800,1237700,1279500,1246600,1106700,1036200,941200,813000,620700,656900,876200,1019400,961100,834900,767400,747800,652800,624800,618500,683600,651200,582100,538800,569600,627100,797000,902100,1050200,1134100,1103500,1110800,1198000,1159100,1517000,1299000,802300,1068600,986100,1431900,1220400,958500,839100,1090000,1295300,1424200,1445300,1427500,1398000,1564000,1377600,1442500,1616300,1555600,1520000,1556600,1447800,1296800,1419500,1216000,1394700,1519100,1534900,1438500,1762100,1850000,1975600,1986600,1956500,1959500,1979200,2034900,2172500,2120800,2103900,2122400,2340600,2249066,2118739,1926850,2045009,1769700,2178255,1975810,1820819,1720943,1830975,2008064
,tonnes,553600,584700,460700,95900,928500,1244300,780400,623900,407500,931800,678500,782900,939800,830400,778000,967200,654600,729700,635000,948500,1308100,1154100,962200,746500,859900,781000,1181300,861500,1117200,485700,829900,993500,562800,251400,572100,759000,884700,710900,771100,841500,742600,922600,827100,855800,785800,855000,405700,871300,324500,1262000,920800,1042800,1468000,1436600,1087400,1463800,731700,2262000,1609100,789600,1406100,815000,1795000,1485600,1139000,831900,510800,2085700,2349600,1650400,1694700,681200,2590300,1899600,1793100,2254900,1803000,1361100,2607200,2020800,2141000,2421200,2121100,1487400,2724000,2794900,2689200,3310400,2585500,4162400,4778500,2071800,3490400,2620800,3852800,1446000,2296000,2376100,4001300,5948700,4524803,3678962,4254313,4602087,3679342,6132504,4051954,3024524,2689074,3982208,4750113
