Region label,Unit of measure,Commodity,Year,Value
Australia,hectares,Barley,1912,47100
Australia,tonnes,Barley,1912,46700
New South Wales,hectares,Barley,1912,4400
New South Wales,tonnes,Barley,1912,2900
Victoria,hectares,Barley,1912,21700
Victoria,tonnes,Barley,1912,23200
Queensland,hectares,Barley,1912,700
Queensland,tonnes,Barley,1912,300
South Australia,hectares,Barley,1912,16500
South Australia,tonnes,Barley,1912,16000
Western Australia,hectares,Barley,1912,1500
Western Australia,tonnes,Barley,1912,800
Tasmania,hectares,Barley,1912,2500
Tasmania,tonnes,Barley,1912,3400
Northern Territory,hectares,Barley,1912,0
Northern Territory,tonnes,Barley,1912,0
Australian Capital Territory,hectares,Barley,1912,0
Australian Capital Territory,tonnes,Barley,1912,0
Australia,hectares,Maize,1912,123000
Australia,tonnes,Maize,1912,198800
New South Wales,hectares,Maize,1912,67900
New South Wales,tonnes,Maize,1912,114500
Victoria,hectares,Maize,1912,7400
Victoria,tonnes,Maize,1912,20100
Queensland,hectares,Maize,1912,47800
Queensland,tonnes,Maize,1912,64100
South Australia,hectares,Maize,1912,0
South Australia,tonnes,Maize,1912,0
Western Australia,hectares,Maize,1912,0
Western Australia,tonnes,Maize,1912,0
Tasmania,hectares,Maize,1912,0
Tasmania,tonnes,Maize,1912,0
Northern Territory,hectares,Maize,1912,0
Northern Territory,tonnes,Maize,1912,0
Australian Capital Territory,hectares,Maize,1912,0
Australian Capital Territory,tonnes,Maize,1912,0
Australia,hectares,Oats,1912,249600
Australia,tonnes,Oats,1912,173300
New South Wales,hectares,Oats,1912,28800
New South Wales,tonnes,Oats,1912,21000
Victoria,hectares,Oats,1912,122300
Victoria,tonnes,Oats,1912,83200
Queensland,hectares,Oats,1912,200
Queensland,tonnes,Oats,1912,100
South Australia,hectares,Oats,1912,43700
South Australia,tonnes,Oats,1912,24400
Western Australia,hectares,Oats,1912,31400
Western Australia,tonnes,Oats,1912,17400
Tasmania,hectares,Oats,1912,23300
Tasmania,tonnes,Oats,1912,27200
Northern Territory,hectares,Oats,1912,0
Northern Territory,tonnes,Oats,1912,0
Australian Capital Territory,hectares,Oats,1912,0
Australian Capital Territory,tonnes,Oats,1912,0
Australia,hectares,Wheat,1912,3006000
Australia,tonnes,Wheat,1912,1949200
New South Wales,hectares,Wheat,1912,963400
New South Wales,tonnes,Wheat,1912,682800
Victoria,hectares,Wheat,1912,875800
Victoria,tonnes,Wheat,1912,568600
Queensland,hectares,Wheat,1912,17400
Queensland,tonnes,Wheat,1912,7800
South Australia,hectares,Wheat,1912,886600
South Australia,tonnes,Wheat,1912,553600
Western Australia,hectares,Wheat,1912,247700
Western Australia,tonnes,Wheat,1912,118600
Tasmania,hectares,Wheat,1912,15100
Tasmania,tonnes,Wheat,1912,17900
Northern Territory,hectares,Wheat,1912,0
Northern Territory,tonnes,Wheat,1912,0
Australian Capital Territory,hectares,Wheat,1912,0
Australian Capital Territory,tonnes,Wheat,1912,0
Australia,hectares,Potatoes,1912,52800
Australia,tonnes,Potatoes,1912,306300
New South Wales,hectares,Potatoes,1912,17500
New South Wales,tonnes,Potatoes,1912,76400
Victoria,hectares,Potatoes,1912,19300
Victoria,tonnes,Potatoes,1912,121000
Queensland,hectares,Potatoes,1912,3100
Queensland,tonnes,Potatoes,1912,13300
South Australia,hectares,Potatoes,1912,3000
South Australia,tonnes,Potatoes,1912,23000
Western Australia,hectares,Potatoes,1912,1100
Western Australia,tonnes,Potatoes,1912,9500
Tasmania,hectares,Potatoes,1912,8800
Tasmania,tonnes,Potatoes,1912,63200
Northern Territory,hectares,Potatoes,1912,0
Northern Territory,tonnes,Potatoes,1912,0
Australian Capital Territory,hectares,Potatoes,1912,0
Australian Capital Territory,tonnes,Potatoes,1912,0
Australia,number,Total cattle,1912,11577259
New South Wales,number,Total cattle,1912,3033726
Victoria,number,Total cattle,1912,1508089
Queensland,number,Total cattle,1912,5210891
South Australia,number,Total cattle,1912,383418
Western Australia,number,Total cattle,1912,806294
Tasmania,number,Total cattle,1912,222181
Northern Territory,number,Total cattle,1912,405552
Australian Capital Territory,number,Total cattle,1912,7108
Australia,hectares,Barley,1913,73400
Australia,tonnes,Barley,1913,87600
New South Wales,hectares,Barley,1913,6800
New South Wales,tonnes,Barley,1913,6600
Victoria,hectares,Barley,1913,29000
Victoria,tonnes,Barley,1913,39600
Queensland,hectares,Barley,1913,3800
Queensland,tonnes,Barley,1913,3300
South Australia,hectares,Barley,1913,27900
South Australia,tonnes,Barley,1913,29900
Western Australia,hectares,Barley,1913,2300
Western Australia,tonnes,Barley,1913,2100
Tasmania,hectares,Barley,1913,3600
Tasmania,tonnes,Barley,1913,6000
Northern Territory,hectares,Barley,1913,0
Northern Territory,tonnes,Barley,1913,0
Australian Capital Territory,hectares,Barley,1913,0
Australian Capital Territory,tonnes,Barley,1913,0
Australia,hectares,Maize,1913,143000
Australia,tonnes,Maize,1913,247500
New South Wales,hectares,Maize,1913,71400
New South Wales,tonnes,Maize,1913,129900
Victoria,hectares,Maize,1913,8100
