Region label,Unit of measure,Commodity,Year,Value
New South Wales,number,Total cattle,1912,3033726
Victoria,number,Total cattle,1912,1508089
Queensland,number,Total cattle,1912,5210891
South Australia,number,Total cattle,1912,383418
Western Australia,number,Total cattle,1912,806294
Tasmania,number,Total cattle,1912,222181
Northern Territory,number,Total cattle,1912,405552
Australian Capital Territory,number,Total cattle,1912,7108
New South Wales,number,Total cattle,1913,2815113
Victoria,number,Total cattle,1913,1528553
Queensland,number,Total cattle,1913,5322033
South Australia,number,Total cattle,1913,352905
Western Australia,number,Total cattle,1913,834265
Tasmania,number,Total cattle,1913,205743
Northern Territory,number,Total cattle,1913,417643
Australian Capital Territory,number,Total cattle,1913,7627
New South Wales,number,Total cattle,1914,2472631
Victoria,number,Total cattle,1914,1362542
Queensland,number,Total cattle,1914,5455943
South Australia,number,Total cattle,1914,300579
Western Australia,number,Total cattle,1914,863835
Tasmania,number,Total cattle,1914,176524
Northern Territory,number,Total cattle,1914,414558
Australian Capital Territory,number,Total cattle,1914,4961
New South Wales,number,Total cattle,1915,2400104
Victoria,number,Total cattle,1915,1043604
Queensland,number,Total cattle,1915,4780893
South Australia,number,Total cattle,1915,226565
Western Australia,number,Total cattle,1915,821048
Tasmania,number,Total cattle,1915,169575
Northern Territory,number,Total cattle,1915,483961
Australian Capital Territory,number,Total cattle,1915,5666
New South Wales,number,Total cattle,1916,2757713
Victoria,number,Total cattle,1916,1175098
Queensland,number,Total cattle,1916,4765657
South Australia,number,Total cattle,1916,288887
Western Australia,number,Total cattle,1916,863930
Tasmania,number,Total cattle,1916,179360
Northern Territory,number,Total cattle,1916,420362
Australian Capital Territory,number,Total cattle,1916,8230
New South Wales,number,Total cattle,1917,3148309
Victoria,number,Total cattle,1917,1371049
Queensland,number,Total cattle,1917,5316558
South Australia,number,Total cattle,1917,313245
Western Australia,number,Total cattle,1917,927086
Tasmania,number,Total cattle,1917,197938
Northern Territory,number,Total cattle,1917,541545
Australian Capital Territory,number,Total cattle,1917,13408
New South Wales,number,Total cattle,1918,3271782
Victoria,number,Total cattle,1918,1596544
Queensland,number,Total cattle,1918,5786744
South Australia,number,Total cattle,1918,342768
Western Australia,number,Total cattle,1918,943847
Tasmania,number,Total cattle,1918,218234
Northern Territory,number,Total cattle,1918,570039
Australian Capital Territory,number,Total cattle,1918,8894
New South Wales,number,Total cattle,1919,3075954
Victoria,number,Total cattle,1919,1631120
Queensland,number,Total cattle,1919,5940433
South Australia,number,Total cattle,1919,349562
Western Australia,number,Total cattle,1919,880644
Tasmania,number,Total cattle,1919,214442
Northern Territory,number,Total cattle,1919,610534
Australian Capital Territory,number,Total cattle,1919,8378
New South Wales,number,Total cattle,1920,3367880
Victoria,number,Total cattle,1920,1575159
Queensland,number,Total cattle,1920,6455067
South Australia,number,Total cattle,1920,376399
Western Australia,number,Total cattle,1920,849803
Tasmania,number,Total cattle,1920,208202
Northern Territory,number,Total cattle,1920,659840
Australian Capital Territory,number,Total cattle,1920,7387
New South Wales,number,Total cattle,1921,3538240
Victoria,number,Total cattle,1921,1750369
Queensland,number,Total cattle,1921,7047370
South Australia,number,Total cattle,1921,419197
Western Australia,number,Total cattle,1921,893108
Tasmania,number,Total cattle,1921,216704
Northern Territory,number,Total cattle,1921,568031
Australian Capital Territory,number,Total cattle,1921,8290
New South Wales,number,Total cattle,1922,3244905
Victoria,number,Total cattle,1922,1785660
Queensland,number,Total cattle,1922,6955463
South Australia,number,Total cattle,1922,425811
Western Australia,number,Total cattle,1922,939596
Tasmania,number,Total cattle,1922,218197
Northern Territory,number,Total cattle,1922,760766
Australian Capital Territory,number,Total cattle,1922,6275
New South Wales,number,Total cattle,1923,2932437
Victoria,number,Total cattle,1923,1591367
Queensland,number,Total cattle,1923,6396514
South Australia,number,Total cattle,1923,413272
Western Australia,number,Total cattle,1923,953764
Tasmania,number,Total cattle,1923,220351
Northern Territory,number,Total cattle,1923,843718
