Region label,Unit of measure,Commodity,Year,Value
New South Wales,hectares,Barley,1912,4400
Victoria,hectares,Barley,1912,21700
Queensland,hectares,Barley,1912,700
South Australia,hectares,Barley,1912,16500
Western Australia,hectares,Barley,1912,1500
Tasmania,hectares,Barley,1912,2500
Northern Territory,hectares,Barley,1912,0
Australian Capital Territory,hectares,Barley,1912,0
New South Wales,hectares,Maize,1912,67900
Victoria,hectares,Maize,1912,7400
Queensland,hectares,Maize,1912,47800
South Australia,hectares,Maize,1912,0
Western Australia,hectares,Maize,1912,0
Tasmania,hectares,Maize,1912,0
Northern Territory,hectares,Maize,1912,0
Australian Capital Territory,hectares,Maize,1912,0
New South Wales,hectares,Oats,1912,28800
Victoria,hectares,Oats,1912,122300
Queensland,hectares,Oats,1912,200
South Australia,hectares,Oats,1912,43700
Western Australia,hectares,Oats,1912,31400
Tasmania,hectares,Oats,1912,23300
Northern Territory,hectares,Oats,1912,0
Australian Capital Territory,hectares,Oats,1912,0
New South Wales,hectares,Wheat,1912,963400
Victoria,hectares,Wheat,1912,875800
Queensland,hectares,Wheat,1912,17400
South Australia,hectares,Wheat,1912,886600
Western Australia,hectares,Wheat,1912,247700
Tasmania,hectares,Wheat,1912,15100
Northern Territory,hectares,Wheat,1912,0
Australian Capital Territory,hectares,Wheat,1912,0
New South Wales,hectares,Potatoes,1912,17500
Victoria,hectares,Potatoes,1912,19300
Queensland,hectares,Potatoes,1912,3100
South Australia,hectares,Potatoes,1912,3000
Western Australia,hectares,Potatoes,1912,1100
Tasmania,hectares,Potatoes,1912,8800
Northern Territory,hectares,Potatoes,1912,0
Australian Capital Territory,hectares,Potatoes,1912,0
New South Wales,hectares,Barley,1913,6800
Victoria,hectares,Barley,1913,29000
Queensland,hectares,Barley,1913,3800
South Australia,hectares,Barley,1913,27900
Western Australia,hectares,Barley,1913,2300
Tasmania,hectares,Barley,1913,3600
Northern Territory,hectares,Barley,1913,0
Australian Capital Territory,hectares,Barley,1913,0
New South Wales,hectares,Maize,1913,71400
Victoria,hectares,Maize,1913,8100
Queensland,hectares,Maize,1913,63400
South Australia,hectares,Maize,1913,0
Western Australia,hectares,Maize,1913,0
Tasmania,hectares,Maize,1913,0
Northern Territory,hectares,Maize,1913,0
Australian Capital Territory,hectares,Maize,1913,0
New South Wales,hectares,Oats,1913,34500
Victoria,hectares,Oats,1913,177800
Queensland,hectares,Oats,1913,1700
South Australia,hectares,Oats,1913,62900
Western Australia,hectares,Oats,1913,51700
Tasmania,hectares,Oats,1913,25300
Northern Territory,hectares,Oats,1913,0
Australian Capital Territory,hectares,Oats,1913,0
New South Wales,hectares,Wheat,1913,903100
Victoria,hectares,Wheat,1913,843900
Queensland,hectares,Wheat,1913,50600
South Australia,hectares,Wheat,1913,841600
Western Australia,hectares,Wheat,1913,321000
Tasmania,hectares,Wheat,1913,10200
Northern Territory,hectares,Wheat,1913,0
Australian Capital Territory,hectares,Wheat,1913,0
New South Wales,hectares,Potatoes,1913,13800
Victoria,hectares,Potatoes,1913,19300
Queensland,hectares,Potatoes,1913,3600
South Australia,hectares,Potatoes,1913,3500
Western Australia,hectares,Potatoes,1913,2100
Tasmania,hectares,Potatoes,1913,10000
Northern Territory,hectares,Potatoes,1913,0
Australian Capital Territory,hectares,Potatoes,1913,0
New South Wales,hectares,Barley,1914,8300
Victoria,hectares,Barley,1914,33700
Queensland,hectares,Barley,1914,3600
South Australia,hectares,Barley,1914,36600
Western Australia,hectares,Barley,1914,4700
Tasmania,hectares,Barley,1914,3100
Northern Territory,hectares,Barley,1914,0
Australian Capital Territory,hectares,Barley,1914,0
New South Wales,hectares,Maize,1914,63500
Victoria,hectares,Maize,1914,7300
Queensland,hectares,Maize,1914,71400
South Australia,hectares,Maize,1914,0
Western Australia,hectares,Maize,1914,0
Tasmania,hectares,Maize,1914,0
Northern Territory,hectares,Maize,1914,0
Australian Capital Territory,hectares,Maize,1914,0
New South Wales,hectares,Oats,1914,41900
Victoria,hectares,Oats,1914,178900
Queensland,hectares,Oats,1914,1700
South Australia,hectares,Oats,1914,47300
Western Australia,hectares,Oats,1914,54100
Tasmania,hectares,Oats,1914,23800
Northern Territory,hectares,Oats,1914,0
Australian Capital Territory,hectares,Oats,1914,0
New South Wales,hectares,Wheat,1914,1297200
Victoria,hectares,Wheat,1914,1038400
Queensland,hectares,Wheat,1914,53700
South Australia,hectares,Wheat,1914,917800
Western Australia,hectares,Wheat,1914,444000
Tasmania,hectares,Wheat,1914,7500
Northern Territory,hectares,Wheat,1914,0
Australian Capital Territory,hectares,Wheat,1914,0
New South Wales,hectares,Potatoes,1914,15700
Victoria,hectares,Potatoes,1914,30200
Queensland,hectares,Potatoes,1914,4100
South Australia,hectares,Potatoes,1914,4400
Western Australia,hectares,Potatoes,1914,2100
Tasmania,hectares,Potatoes,1914,12500
Northern Territory,hectares,Potatoes,1914,0
Australian Capital Territory,hectares,Potatoes,1914,0
New South Wales,hectares,Barley,1915,2000
Victoria,hectares,Barley,1915,25300
Queensland,hectares,Barley,1915,2900
South Australia,hectares,Barley,1915,26800
Western Australia,hectares,Barley,1915,2800
Tasmania,hectares,Barley,1915,2400
Northern Territory,hectares,Barley,1915,0
Australian Capital Territory,hectares,Barley,1915,0
New South Wales,hectares,Maize,1915,58100
Victoria,hectares,Maize,1915,7900
Queensland,hectares,Maize,1915,59300
South Australia,hectares,Maize,1915,0
Western Australia,hectares,Maize,1915,0
Tasmania,hectares,Maize,1915,0
Northern Territory,hectares,Maize,1915,0
Australian Capital Territory,hectares,Maize,1915,0
New South Wales,hectares,Oats,1915,17600
Victoria,hectares,Oats,1915,177000
Queensland,hectares,Oats,1915,1100
South Australia,hectares,Oats,1915,56900
Western Australia,hectares,Oats,1915,38900
Tasmania,hectares,Oats,1915,23100
Northern Territory,hectares,Oats,1915,0
Australian Capital Territory,hectares,Oats,1915,0
New South Wales,hectares,Wheat,1915,1116100
Victoria,hectares,Wheat,1915,1158800
Queensland,hectares,Wheat,1915,51400
South Australia,hectares,Wheat,1915,1012800
Western Australia,hectares,Wheat,1915,556900
Tasmania,hectares,Wheat,1915,9700
Northern Territory,hectares,Wheat,1915,0
Australian Capital Territory,hectares,Wheat,1915,0
New South Wales,hectares,Potatoes,1915,12300
Victoria,hectares,Potatoes,1915,26500
Queensland,hectares,Potatoes,1915,3400
South Australia,hectares,Potatoes,1915,3100
